Real: 0.362454	Estimated: 0.385809	cutvector: 940 	cutvector: 1024 
Real: 0.320242	Estimated: 0.368496	cutvector: 940 	cutvector: 1024 
Real: 0.333228	Estimated: 0.367601	cutvector: 940 	cutvector: 1024 
Real: 0.339763	Estimated: 0.364233	cutvector: 940 	cutvector: 1024 
Real: 0.381032	Estimated: 0.358378	cutvector: 940 	cutvector: 1024 
Real: 0.284863	Estimated: 0.35079	cutvector: 940 	cutvector: 1024 
Real: 0.379543	Estimated: 0.338413	cutvector: 940 	cutvector: 1024 
Real: 0.404932	Estimated: 0.33427	cutvector: 940 	cutvector: 1024 
Real: 0.373054	Estimated: 0.332542	cutvector: 940 	cutvector: 1024 
Real: 0.377838	Estimated: 0.338199	cutvector: 940 	cutvector: 1024 
Real: 0.314236	Estimated: 0.354375	cutvector: 940 	cutvector: 1024 
Real: 0.283084	Estimated: 0.345641	cutvector: 940 	cutvector: 1024 
Real: 0.383091	Estimated: 0.353889	cutvector: 940 	cutvector: 1024 
Real: 0.318036	Estimated: 0.413467	cutvector: 940 	cutvector: 1024 
Real: 0.38314	Estimated: 0.365577	cutvector: 940 	cutvector: 1024 
Real: 0.349561	Estimated: 0.367628	cutvector: 940 	cutvector: 1024 
Real: 0.563531	Estimated: 0.0391944	cutvector: 84 	cutvector: 1024 
Real: 0.471026	Estimated: 0.0504232	cutvector: 84 	cutvector: 1024 
Real: 0.339629	Estimated: 0.325558	cutvector: 84 	cutvector: 1024 
Real: 0.401643	Estimated: 0.191029	cutvector: 84 	cutvector: 1024 
Real: 0.419467	Estimated: 0.222418	cutvector: 84 	cutvector: 1024 
Real: 0.40189	Estimated: 0.222716	cutvector: 84 	cutvector: 1024 
Real: 0.378771	Estimated: 0.240297	cutvector: 84 	cutvector: 1024 
Real: 0.488098	Estimated: 0.285865	cutvector: 84 	cutvector: 1024 
Real: 0.45398	Estimated: 0.322517	cutvector: 84 	cutvector: 1024 
Real: 0.347802	Estimated: 0.518837	cutvector: 940 	cutvector: 1024 
Real: 0.424984	Estimated: 0.378549	cutvector: 940 	cutvector: 1024 
Real: 0.394523	Estimated: 0.320991	cutvector: 84 	cutvector: 1024 
Real: 0.44591	Estimated: 0.340619	cutvector: 84 	cutvector: 1024 
Real: 0.304913	Estimated: 0.301575	cutvector: 84 	cutvector: 1024 
